2637,External Relations,2005-01-31,2005-01-31,Ferenc Somogyi,MFA,Minister for Foreign Affairs,bezp.,1,Ferenc Gyurcsány 1
2637,External Relations,2005-01-31,2005-01-31,Etele Baráth,gov.,Minister without portfolio responsible for European Affairs,MSZP,1,Ferenc Gyurcsány 1
2638,Economic and Financial Affairs,2005-02-17,2005-02-17,Tibor Draskovics,MF,Minister for Finance,bezp.,1,Ferenc Gyurcsány 1
2639,"Education, Youth, Culture and Sport",2005-02-21,2005-02-21,Kinga Göncz,MFA,Minister of Foreign Affairs,MSZP,1,Ferenc Gyurcsány 1
2639,"Education, Youth, Culture and Sport",2005-02-21,2005-02-21,Egon Dienes-Oehm,PerRep,Deputy permanent representative,KDNP,1,Ferenc Gyurcsány 1
2640,General Affairs,2005-02-21,2005-02-21,Ferenc Somogyi,MFA,Minister for Foreign Affairs,bezp.,1,Ferenc Gyurcsány 1
2640,General Affairs,2005-02-21,2005-02-21,Etele Baráth,gov.,Minister without portfolio responsible for European Affairs,MSZP,1,Ferenc Gyurcsány 1
2641,External Relations,2005-02-21,2005-02-21,Ferenc Somogyi,MFA,Minister for Foreign Affairs,bezp.,1,Ferenc Gyurcsány 1
2641,External Relations,2005-02-21,2005-02-21,Etele Baráth,gov.,Minister without portfolio responsible for European Affairs,MSZP,1,Ferenc Gyurcsány 1
2642,Justice and Home Affairs,2005-02-24,2005-02-24,József Petrétei,MJLE,Minister of Justice and Law Enforcement,bezp.,1,Ferenc Gyurcsány 1
2642,Justice and Home Affairs,2005-02-24,2005-02-24,Gábor Juhász,MI,"Political State Secretary, Ministry of the Interior",MSZP,1,Ferenc Gyurcsány 1
2643,Agriculture and Fisheries,2005-02-28,2005-02-28,Ferenc Nyujtó,MARD,"Deputy State Secretary, Ministry of Agriculture and Rural Development",?,0,Ferenc Gyurcsány 1
2644,"Employment, Social Policy, Health and Consumer Affairs",2005-03-03,2005-03-03,Kinga Göncz,MFA,Minister of Foreign Affairs,MSZP,1,Ferenc Gyurcsány 1
2644,"Employment, Social Policy, Health and Consumer Affairs",2005-03-03,2005-03-03,Gábor Csizmár,MLE,"State Secretary, Ministry of Labour and Employment",MSZP,1,Ferenc Gyurcsány 1
2645,Competitiveness,2005-03-07,2005-03-07,Etele Baráth,gov.,Minister without portfolio responsible for European Affairs,MSZP,1,Ferenc Gyurcsány 1
2646,Economic and Financial Affairs,2005-03-08,2005-03-08,Tibor Draskovics,MF,Minister for Finance,bezp.,1,Ferenc Gyurcsány 1
